recording,participant,analysis,group,gender,language,story,direction,mark,trial,repetition,onset,offset,aoi,hits,age,clip_sec,secs,percent
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightChestBottom,28,0.4,4.2,0.23333333333333334,0.05555555555555555
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidChestBottom,2,0.4,4.2,0.016666666666666666,0.003968253968253968
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftChestBottom,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftChestCenter,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidChestCenter,145,0.4,4.2,1.2083333333333333,0.2876984126984127
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightChestCenter,1,0.4,4.2,0.008333333333333333,0.001984126984126984
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftChestTop,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidChestTop,57,0.4,4.2,0.475,0.11309523809523808
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightChestTop,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightFaceBottom,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidFaceBottom,158,0.4,4.2,1.3166666666666667,0.3134920634920635
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftFaceBottom,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftFaceCenter,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidFaceCenter,43,0.4,4.2,0.35833333333333334,0.08531746031746032
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightFaceCenter,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftFaceTop,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,MidFaceTop,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightFaceTop,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,Belly,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,LeftSide,0,0.4,4.2,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,Cinderella_2,forward,2,1,1,1201,1707,RightSide,4,0.4,4.2,0.03333333333333333,0.007936507936507936
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,RedRiding_1,forward,7,2,1,1964,2974,RightChestBottom,0,0.4,8.4,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,RedRiding_1,forward,7,2,1,1964,2974,MidChestBottom,118,0.4,8.4,0.9833333333333333,0.11706349206349205
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,RedRiding_1,forward,7,2,1,1964,2974,LeftChestBottom,0,0.4,8.4,0,0
AB11M120_5m_Excellent,AB11Mi20_5M_10D,GoodData,1,Female,english,RedRiding_1,forward,7,2,1,1964,2974,LeftChestCenter,6,0.4,8.4,0.05,0.005952380952380952
